,Unnamed: 0,CITYHCR,HCTMULT,NAMEHCR,RSSDHCR,STALPHCR
0,0,BOSTON,MULT,STATE STREET CORPORATION,1111435,MA
1,3,AUBURN,ONE,"AUBURN NATIONAL BANCORPORATION, INC.",1129533,AL
2,11,DEMOPOLIS,ONE,"RBC, INC.",2526755,AL
3,18,PHENIX CITY,ONE,"PHENIX-GIRARD BANCSHARES, INC.",2013246,AL
4,22,CULLMAN,ONE,"MERCHANTS FINANCIAL SERVICES, INC.",1082955,AL
5,27,HALEYVILLE,ONE,"TRADERS & FARMERS BANCSHARES, INC.",3467305,AL
6,35,RED BAY,ONE,"INDEPENDENT BANCSHARES, INC. EMPLOYEE STOCK OWNERSHIP PLAN",3587294,AL
7,40,VERNON,ONE,"FIRST VERNON BANCSHARES, INC.",1139998,AL
8,43,WINFIELD,ONE,"CITIZENS BANCORP OF WINFIELD, INC.",1833616,AL
9,44,ALTOONA,ONE,"GADSDEN CORPORATION, THE",1079067,AL
10,49,ATMORE,ONE,"UNITED BANCORPORATION OF ALABAMA, INC.",1083895,AL
11,69,MONROEVILLE,ONE,"PEOPLES EXCHANGE BANCSHARES, INC.",1138870,AL
12,70,CALERA,ONE,CENTRAL STATE BANCORPORATION,1084593,AL
13,75,DOTHAN,ONE,BANCSOUTH CORPORATION,1084061,AL
14,81,CAMDEN,ONE,"HARRELL BANCSHARES, INC.",2352196,AR
15,90,FAYETTEVILLE,ONE,WHITE RIVER BANCSHARES COMPANY,3306589,AR
16,96,MONTICELLO,ONE,"DREW BANCSHARES, INC.",1098198,AR
17,101,LITTLE ROCK,ONE,"RIVERSIDE BANCSHARES, INC",2155342,AR
18,103,WARREN,ONE,"BRADLEY BANCSHARES, INC.",1097463,AR
19,110,PRESCOTT,ONE,"PRESCOTT BANCSHARES, INC",2236586,AR
20,111,CAVE CITY,ONE,"SHARP BANCSHARES, INC.",1099663,AR
21,116,CLARENDON,ONE,CLARENDON HOLDING CO.,1099252,AR
22,117,HORATIO,ONE,"PIONEER BANCSHARES, INC. OF HORATIO, ARK",1139091,AR
23,359,STUART,ONE,SEACOAST BANKING CORPORATION OF FLORIDA,1085013,FL
24,409,MILLEDGEVILLE,ONE,"CENTURY BANCORP, INC.",2043850,GA
25,411,MADISON,ONE,MADISON BANK CORP.,1135105,GA
26,415,HAZLEHURST,ONE,"HAZLEHURST INVESTORS, INC.",3140961,GA
27,417,ALAPAHA,ONE,ALAPAHA HOLDING COMPANY,3194076,GA
28,421,MILLEDGEVILLE,ONE,"EXCHANGE BANKSHARES, INC.",1085862,GA
