,Unnamed: 0,ADDRESS,ASSET,BKCLASS,CALL,CERT,CHARTER,CHRTAGNN,CHRTAGNT,CITY,CLCODE,CNTRYNA,DENOVO,DEPDOM,DEPSUM,DOCKET,ESCROW,FDICDBS,FDICNAME,FED,FEDNAME,INSAGNT1,INSBRDD,INSBRTS,INSURED,NAMEFULL,OCCDIST,OCCNAME,REGAGNT,RSSDID,SPECDESC,SPECGRP,STALP,STCNTY,STNAME,UNIT,USA,ZIP
0,0,1 Lincoln St. Fl 1,238122000.0,SM,CALL,14,STATE,State Agency,STATE,Boston,13,United States,0.0,107288000.0,107288000.0,14278,,2,New York,1,Boston,DIF,,,CB,State Street Bank and Trust Company,1,Northeast District,FED,35301,INTERNATIONAL,1,MA,25025,Massachusetts,0.0,1,2111
2,3,100 North Gay Street,840083.0,SM,CALL,35,STATE,State Agency,STATE,Auburn,13,United States,0.0,742860.0,742860.0,9177,,5,Atlanta,6,Atlanta,DIF,,,CB,AuburnBank,5,Southwest District,FED,749635,COMMERCIAL LENDING,4,AL,1081,Alabama,0.0,1,36830
5,16,216 North Walnut Avenue,324549.0,NM,CALL,39,STATE,State Agency,STATE,Demopolis,21,United States,0.0,278014.0,278014.0,14095,,5,Atlanta,6,Atlanta,DIF,,,CB,Robertson Banking Company,5,Southwest District,FDIC,430036,COMMERCIAL LENDING,4,AL,1091,Alabama,0.0,1,36732
7,21,801 13th Street,195582.0,NM,CALL,41,STATE,State Agency,STATE,Phenix City,21,United States,0.0,155735.0,155735.0,14012,,5,Atlanta,6,Atlanta,DIF,,,CB,Phenix-Girard Bank,5,Southwest District,FDIC,432432,COMMERCIAL LENDING,4,AL,1113,Alabama,0.0,1,36867
9,25,"900 Second Avenue, Sw",296854.0,NM,CALL,46,STATE,State Agency,STATE,Cullman,21,United States,0.0,265244.0,265244.0,0,,5,Atlanta,6,Atlanta,DIF,,,CB,Merchants Bank of Alabama,5,Southwest District,FDIC,113937,COMMERCIAL LENDING,4,AL,1043,Alabama,0.0,1,35055
11,33,819 20th St,370697.0,NM,CALL,47,STATE,State Agency,STATE,Haleyville,21,United States,0.0,293591.0,293591.0,16141,,5,Atlanta,6,Atlanta,DIF,,,CB,Traders & Farmers Bank,5,Southwest District,FDIC,390336,ALL OTHER < $1 BILLION,8,AL,1133,Alabama,0.0,1,35565
12,34,146 West Front Street,59183.0,NM,CALL,49,STATE,State Agency,STATE,Evergreen,21,,0.0,50751.0,50751.0,0,,5,Atlanta,6,Atlanta,DIF,,,CB,Bank of Evergreen,5,Southwest District,FDIC,560438,ALL OTHER < $1 BILLION,8,AL,1035,Alabama,1.0,1,36401
14,37,200 4th Avenue Sw,148500.0,NM,CALL,50,STATE,State Agency,STATE,Red Bay,21,United States,0.0,126999.0,126999.0,13450,,5,Atlanta,6,Atlanta,DIF,,,CB,Community Spirit Bank,5,Southwest District,FDIC,470032,ALL OTHER < $1 BILLION,8,AL,1059,Alabama,0.0,1,35582
15,40,44825 Highway 17,159361.0,NM,CALL,51,STATE,State Agency,STATE,Vernon,21,United States,0.0,133076.0,133076.0,14338,,5,Atlanta,6,Atlanta,DIF,,,CB,The Bank of Vernon,5,Southwest District,FDIC,382537,COMMERCIAL LENDING,4,AL,1075,Alabama,0.0,1,35592
17,43,236 Bankhead Highway,241858.0,NM,CALL,52,STATE,State Agency,STATE,Winfield,21,United States,0.0,144411.0,144411.0,12748,,5,Atlanta,6,Atlanta,DIF,,,CB,The Citizens Bank of Winfield,5,Southwest District,FDIC,293437,OTHER < $1 BILLION,7,AL,1093,Alabama,1.0,1,35594
19,48,Sixth And Blount Streets,284421.0,NM,CALL,54,STATE,State Agency,STATE,Altoona,21,United States,0.0,241389.0,241389.0,9285,,5,Atlanta,6,Atlanta,DIF,,,CB,The Exchange Bank of Alabama,5,Southwest District,FDIC,672537,COMMERCIAL LENDING,4,AL,1055,Alabama,0.0,1,35952
21,55,200 East Nashville Avenue,659241.0,NM,CALL,58,STATE,State Agency,STATE,Atmore,21,United States,0.0,591191.0,591191.0,13590,,5,Atlanta,6,Atlanta,DIF,,,CB,United Bank,5,Southwest District,FDIC,994435,COMMERCIAL LENDING,4,AL,1053,Alabama,0.0,1,36502
22,69,2013 Highway 21 Bypass,69727.0,NM,CALL,70,STATE,State Agency,STATE,Monroeville,21,United States,0.0,59362.0,59362.0,0,,5,Atlanta,6,Atlanta,DIF,,,CB,Peoples Exchange Bank,5,Southwest District,FDIC,42037,COMMERCIAL LENDING,4,AL,1099,Alabama,1.0,1,36460
23,70,11025 Hwy 25,322693.0,SM,CALL,72,STATE,State Agency,STATE,Calera,13,United States,0.0,283983.0,283983.0,9282,,5,Atlanta,6,Atlanta,DIF,,,CB,Central State Bank,5,Southwest District,FED,353238,COMMERCIAL LENDING,4,AL,1117,Alabama,0.0,1,35040
26,76,3251 Ross Clark Circle,179633.0,NM,CALL,77,STATE,State Agency,STATE,Dothan,21,United States,0.0,142529.0,142529.0,10489,,5,Atlanta,6,Atlanta,DIF,,,CB,BankSouth,5,Southwest District,FDIC,194936,COMMERCIAL LENDING,4,AL,1069,Alabama,0.0,1,36303
27,77,201 South Main Street,127200.0,SM,CALL,81,STATE,State Agency,STATE,Warren,13,,0.0,100756.0,100756.0,13922,,13,Dallas,8,St. Louis,DIF,,,CB,Warren Bank and Trust Company,5,Southwest District,FED,748441,OTHER < $1 BILLION,7,AR,5011,Arkansas,0.0,1,71671
